"game_id","player","team","seconds","plus.minus","adj.plus.minus"
"0021700813","Aron Baynes","BOS",861,5,16.7247386759582
"0021700820","Aron Baynes","BOS",1287,-3,-6.71328671328671
"0021700835","Aron Baynes","BOS",784,-8,-29.3877551020408
"0021700858","Aron Baynes","BOS",882,-7,-22.8571428571429
"0021700873","Aron Baynes","BOS",139,0,0
"0021700898","Aron Baynes","BOS",956,0,0
"0021700916","Aron Baynes","BOS",1304,21,46.3803680981595
"0021700939","Aron Baynes","BOS",729,-9,-35.5555555555556
"0021700953","Aron Baynes","BOS",1060,27,73.3584905660377
"0021700974","Aron Baynes","BOS",628,-11,-50.4458598726115
"0021700998","Aron Baynes","BOS",1148,6,15.0522648083624
"0021701017","Aron Baynes","BOS",1986,-14,-20.3021148036254
"0021701029","Aron Baynes","BOS",1356,16,33.9823008849558
"0021701047","Aron Baynes","BOS",853,0,0
"0021701059","Aron Baynes","BOS",874,1,3.29519450800915
"0021701086","Aron Baynes","BOS",1122,-10,-25.668449197861
"0021701099","Aron Baynes","BOS",1438,21,42.0584144645341
"0021701107","Aron Baynes","BOS",1100,16,41.8909090909091
"0021701121","Aron Baynes","BOS",1655,0,0
"0021701140","Aron Baynes","BOS",1412,0,0
"0021701162","Aron Baynes","BOS",1346,-3,-6.41901931649331
"0021701171","Aron Baynes","BOS",869,-10,-33.1415420023015
"0021701185","Aron Baynes","BOS",1070,0,0
"0021701202","Aron Baynes","BOS",1395,0,0
"0021701215","Aron Baynes","BOS",1246,-5,-11.5569823434992
"0021701219","Aron Baynes","BOS",1228,21,49.2508143322476
"0021700007","Daniel Theis","BOS",260,2,22.1538461538462
"0021700019","Daniel Theis","BOS",675,1,4.26666666666667
"0021700051","Daniel Theis","BOS",1244,14,32.411575562701
"0021700067","Daniel Theis","BOS",1126,2,5.11545293072824
"0021700078","Daniel Theis","BOS",907,-3,-9.52590959206174
"0021700092","Daniel Theis","BOS",838,-3,-10.3102625298329
"0021700109","Daniel Theis","BOS",1098,11,28.8524590163934
"0021700129","Daniel Theis","BOS",448,-1,-6.42857142857143
"0021700138","Daniel Theis","BOS",181,-4,-63.646408839779
"0021700146","Daniel Theis","BOS",839,-2,-6.86531585220501
"0021700161","Daniel Theis","BOS",1342,14,30.0447093889717
"0021700170","Daniel Theis","BOS",1039,3,8.31568816169394
"0021700188","Daniel Theis","BOS",1037,-7,-19.4406943105111
"0021700201","Daniel Theis","BOS",676,-7,-29.8224852071006
"0021700215","Daniel Theis","BOS",178,-3,-48.5393258426966
"0021700230","Daniel Theis","BOS",186,-4,-61.9354838709677
"0021700249","Daniel Theis","BOS",379,-4,-30.3957783641161
"0021700257","Daniel Theis","BOS",585,-14,-68.9230769230769
"0021700281","Daniel Theis","BOS",1268,9,20.4416403785489
"0021700292","Daniel Theis","BOS",625,2,9.216
"0021700314","Daniel Theis","BOS",846,1,3.40425531914894
"0021700326","Daniel Theis","BOS",577,-5,-24.9566724436742
"0021700343","Daniel Theis","BOS",612,0,0
"0021700356","Daniel Theis","BOS",1041,-1,-2.76657060518732
"0021700374","Daniel Theis","BOS",652,-10,-44.1717791411043
"0021700386","Daniel Theis","BOS",717,-9,-36.1506276150628
"0021700391","Daniel Theis","BOS",676,-9,-38.3431952662722
"0021700407","Daniel Theis","BOS",1100,17,44.5090909090909
"0021700423","Daniel Theis","BOS",28,1,102.857142857143
"0021700436","Daniel Theis","BOS",840,-2,-6.85714285714286
"0021700442","Daniel Theis","BOS",1013,-8,-22.7443237907206
"0021700456","Daniel Theis","BOS",1185,-4,-9.72151898734177
"0021700468","Daniel Theis","BOS",1009,-9,-25.6888007928642
"0021700485","Daniel Theis","BOS",1461,1,1.97125256673511
"0021700495","Daniel Theis","BOS",1086,11,29.171270718232
"0021700506","Daniel Theis","BOS",1017,7,19.8230088495575
"0021700517","Daniel Theis","BOS",312,-9,-83.0769230769231
"0021700539","Daniel Theis","BOS",601,3,14.3760399334443
"0021700559","Daniel Theis","BOS",263,-9,-98.5551330798479
"0021700570","Daniel Theis","BOS",1471,6,11.7471108089735
"0021700579","Daniel Theis","BOS",1119,5,12.8686327077748
"0021700614","Daniel Theis","BOS",1185,4,9.72151898734177
"0021700650","Daniel Theis","BOS",1212,1,2.37623762376238
"0021700663","Daniel Theis","BOS",468,-4,-24.6153846153846
"0021700683","Daniel Theis","BOS",673,-10,-42.7934621099554
"0021700700","Daniel Theis","BOS",955,-6,-18.0942408376963
"0021700709","Daniel Theis","BOS",1388,7,14.5244956772334
"0021700728","Daniel Theis","BOS",729,-2,-7.90123456790123
"0021700743","Daniel Theis","BOS",1241,16,37.1313456889605
"0021700758","Daniel Theis","BOS",1085,18,47.778801843318
