"game_type","game_id","away_team","home_team"
"season","0021700765","OKC","DEN"
"season","0021700766","IND","CHA"
"season","0021700767","ATL","BOS"
"season","0021700768","LAL","BKN"
"season","0021700769","POR","TOR"
"season","0021700770","MIA","PHI"
"season","0021700771","NYK","MIL"
"season","0021700772","NOP","OKC"
"season","0021700773","UTA","PHX"
"season","0021700774","GSW","SAC"
"season","0021700775","CHI","LAC"
"season","0021700776","MIA","DET"
"season","0021700777","PHI","IND"
"season","0021700778","WAS","ORL"
"season","0021700779","HOU","CLE"
"season","0021700780","NOP","MIN"
"season","0021700781","UTA","SAS"
"season","0021700782","GSW","DEN"
"season","0021700783","DAL","SAC"
"season","0021700784","POR","BOS"
"season","0021700785","MIL","BKN"
"season","0021700786","ATL","NYK"
"season","0021700787","MEM","TOR"
"season","0021700788","LAL","OKC"
"season","0021700789","CHA","PHX"
"season","0021700790","POR","DET"
"season","0021700791","WAS","IND"
"season","0021700792","ORL","MIA"
"season","0021700793","UTA","NOP"
"season","0021700794","CHA","DEN"
"season","0021700795","CHI","SAC"
"season","0021700796","DAL","LAC"
"season","0021700797","CLE","ORL"
"season","0021700798","BOS","TOR"
"season","0021700799","MEM","ATL"
"season","0021700800","HOU","BKN"
"season","0021700801","MIL","NYK"
"season","0021700802","WAS","PHI"
"season","0021700803","OKC","GSW"
"season","0021700804","PHX","LAL"
"season","0021700805","BKN","DET"
"season","0021700806","HOU","MIA"
"season","0021700807","MIN","CLE"
"season","0021700808","UTA","MEM"
"season","0021700810","SAS","PHX"
"season","0021700811","ATL","ORL"
"season","0021700812","NYK","TOR"
"season","0021700813","BOS","WAS"
"season","0021700814","CHA","POR"
"season","0021700815","DAL","GSW"
"season","0021700816","OKC","LAL"
"season","0021700817","LAC","DET"
"season","0021700818","NOP","PHI"
"season","0021700819","CLE","ATL"
"season","0021700820","IND","BOS"
"season","0021700821","MIL","MIA"
"season","0021700822","MIN","CHI"
"season","0021700823","DEN","HOU"
"season","0021700824","CHA","UTA"
"season","0021700825","POR","SAC"
"season","0021700826","NOP","BKN"
"season","0021700827","MIL","ORL"
"season","0021700828","LAC","PHI"
"season","0021700829","WAS","CHI"
"season","0021700830","LAL","DAL"
